Sample,IlluminaSample,Species,Strain,Project,Description,AssemblyFocus
MTK10,S10,Cryphonectria parasitica,23,Chestnut blight,archived DNA from herbarium specimen,Metagenome
MTK11,S11,Cryphonectria parasitica,30400,Chestnut blight,archived DNA from herbarium specimen,Metagenome
MTK12,S12,Cryphonectria parasitica,CPWV1912,Chestnut blight,archived DNA from herbarium specimen,Metagenome
MTK13,S13,Cryphonectria parasitica,6326A,Chestnut blight,archived DNA from herbarium specimen,Metagenome
